name,album,duration_ms,popularity,release_date,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
72 Seasons,72 Seasons,459120,71,2023/04/14,0.196,0.981,-3.865,0.0574,4.16E-05,0.052,0.0636,0.403,168.183
Shadows Follow,72 Seasons,371880,70,2023/04/14,0.316,0.978,-3.937,0.0507,0.000106,0.0325,0.325,0.671,178.554
Screaming Suicide,72 Seasons,330453,68,2023/04/14,0.427,0.973,-3.469,0.0445,2.66E-05,0.02,0.26,0.317,100.979
Sleepwalk My Life Away,72 Seasons,416067,68,2023/04/14,0.45,0.949,-4.181,0.0343,2.13E-05,0.0404,0.0977,0.53,124.949
You Must Burn!,72 Seasons,423013,67,2023/04/14,0.235,0.958,-3.069,0.0426,8.97E-05,0.0173,0.0374,0.453,172.774
Lux terna,72 Seasons,201760,68,2023/04/14,0.401,0.996,-3.327,0.0714,1.15E-05,0.000879,0.121,0.226,130.596
Crown of Barbed Wire,72 Seasons,349400,66,2023/04/14,0.441,0.963,-3.984,0.0363,1.90E-05,0.0243,0.0582,0.245,111.68
Chasing Light,72 Seasons,405107,65,2023/04/14,0.251,0.981,-3.59,0.0557,2.33E-05,0.0456,0.408,0.68,182.396
If Darkness Had a Son,72 Seasons,396293,66,2023/04/14,0.478,0.939,-4.349,0.0443,2.67E-05,0.00488,0.0511,0.396,123.391
Too Far Gone?,72 Seasons,273693,66,2023/04/14,0.472,0.989,-4.131,0.0443,2.99E-05,0.0254,0.0808,0.452,96.541
Room of Mirrors,72 Seasons,333707,65,2023/04/14,0.281,0.987,-3.503,0.0593,2.52E-05,0.0656,0.11,0.671,159.37
Inamorata,72 Seasons,670253,66,2023/04/14,0.497,0.869,-4.046,0.0319,0.000303,0.00794,0.067,0.284,120.41
Enter Sandman - Remastered 2021,Metallica (Remastered Deluxe Box Set),331560,53,2021/09/10,0.569,0.838,-8.421,0.0302,0.0026,0.00836,0.0628,0.615,123.299
Sad But True - Remastered 2021,Metallica (Remastered Deluxe Box Set),324600,48,2021/09/10,0.625,0.876,-5.998,0.035,0.000848,0.00198,0.0639,0.46,89.233
Holier Than Thou - Remastered 2021,Metallica (Remastered Deluxe Box Set),227573,43,2021/09/10,0.458,0.969,-5.923,0.0412,0.00156,0.255,0.0841,0.348,172.096
The Unforgiven - Remastered 2021,Metallica (Remastered Deluxe Box Set),387160,45,2021/09/10,0.526,0.579,-9.489,0.0257,0.0179,0.00861,0.216,0.211,139.496
